method,seed,eval_index,generation,fitness,best_so_far,n_nodes
random_search,6,62,1,20.391153452528776,18.336660026534076,21
random_search,6,63,1,21.91547594742265,18.336660026534076,21
random_search,6,64,1,21.049444375840398,18.336660026534076,21
random_search,6,65,1,20.30384048104053,18.336660026534076,21
random_search,6,66,1,20.617935662402836,18.336660026534076,21
random_search,6,67,1,22.082207001484488,18.336660026534076,21
random_search,6,68,1,22.03315017762062,18.336660026534076,21
random_search,6,69,1,20.822611077089288,18.336660026534076,21
random_search,6,70,1,19.555294535724684,18.336660026534076,21
random_search,6,71,1,18.53072757526625,18.336660026534076,21
random_search,6,72,1,21.049444375840398,18.336660026534076,21
random_search,6,73,1,20.381742422927143,18.336660026534076,21
random_search,6,74,1,20.217800560721074,18.336660026534076,21
random_search,6,75,1,21.53072757526625,18.336660026534076,21
random_search,6,76,1,19.30332963783729,18.336660026534076,21
random_search,6,77,1,21.36124969497314,18.336660026534076,21
random_search,6,78,1,21.20185121722126,18.336660026534076,21
random_search,6,79,1,18.671779788708136,18.336660026534076,21
random_search,6,80,1,22.007135583350035,18.336660026534076,21
random_search,6,81,1,19.814642819948226,18.336660026534076,21
random_search,6,82,1,19.70332963783729,18.336660026534076,21
random_search,6,83,1,20.368438714135813,18.336660026534076,21
random_search,6,84,1,22.531300056749533,18.336660026534076,21
random_search,6,85,1,21.04939015319192,18.336660026534076,21
random_search,6,86,1,19.337211521390785,18.336660026534076,21
random_search,6,87,1,20.44928556845359,18.336660026534076,21
random_search,6,88,1,17.86619037896906,17.86619037896906,21
random_search,6,89,1,22.025657829663178,17.86619037896906,21
random_search,6,90,1,21.214944167960986,17.86619037896906,21
random_search,6,91,1,22.598386676965934,17.86619037896906,21
random_search,6,92,1,19.400000000000002,17.86619037896906,21
random_search,6,93,1,22.022327839240493,17.86619037896906,21
random_search,6,94,1,19.613112646970897,17.86619037896906,21
random_search,6,95,1,22.146536616149582,17.86619037896906,21
random_search,6,96,1,21.93238075793812,17.86619037896906,21
random_search,6,97,1,22.077902338672775,17.86619037896906,21
random_search,6,98,1,20.32828568570857,17.86619037896906,21
random_search,6,99,1,23.270540018881462,17.86619037896906,21
random_search,6,100,2,22.589459064299284,17.86619037896906,21
random_search,6,101,2,20.777154105707726,17.86619037896906,21
random_search,6,102,2,20.33390796058137,17.86619037896906,21
random_search,6,103,2,18.843559577416272,17.86619037896906,21
random_search,6,104,2,20.417935662402833,17.86619037896906,21
random_search,6,105,2,20.661706725018234,17.86619037896906,21
random_search,6,106,2,21.487905815638733,17.86619037896906,21
random_search,6,107,2,21.18208554864871,17.86619037896906,21
random_search,6,108,2,17.3295630140987,17.3295630140987,21
random_search,6,109,2,20.626785107312738,17.3295630140987,21
random_search,6,110,2,19.322497216032183,17.3295630140987,21
random_search,6,111,2,20.235270009440733,17.3295630140987,21
random_search,6,112,2,20.634698994937583,17.3295630140987,21
random_search,6,113,2,20.533907960581374,17.3295630140987,21
random_search,6,114,2,19.563818169698585,17.3295630140987,21
random_search,6,115,2,20.58522995463527,17.3295630140987,21
random_search,6,116,2,21.4496835316263,17.3295630140987,21
random_search,6,117,2,21.356349099818896,17.3295630140987,21
random_search,6,118,2,20.914213562373096,17.3295630140987,21
random_search,6,119,2,21.489979919597747,17.3295630140987,21
random_search,6,120,2,20.507878402833892,17.3295630140987,21
random_search,6,121,2,19.06953597148327,17.3295630140987,21
random_search,6,122,2,20.134698994937583,17.3295630140987,21
random_search,6,123,2,18.2770329614269,17.3295630140987,21
random_search,6,124,2,20.065941943351177,17.3295630140987,21
random_search,6,125,2,20.559591794226545,17.3295630140987,21
random_search,6,126,2,22.067366884975478,17.3295630140987,21
random_search,6,127,2,22.243024810940586,17.3295630140987,21
random_search,6,128,2,22.655592347112503,17.3295630140987,21
random_search,6,129,2,20.623243291566197,17.3295630140987,21
random_search,6,130,2,21.75329983228432,17.3295630140987,21
random_search,6,131,2,21.7343879744639,17.3295630140987,21
random_search,6,132,2,22.052776554086886,17.3295630140987,21
random_search,6,133,2,20.693737745050925,17.3295630140987,21
random_search,6,134,2,20.09666295470958,17.3295630140987,21
random_search,6,135,2,19.54880884817015,17.3295630140987,21
random_search,6,136,2,22.66794833886788,17.3295630140987,21
random_search,6,137,2,22.14575131106459,17.3295630140987,21
random_search,6,138,2,21.341653005427766,17.3295630140987,21
random_search,6,139,2,20.367156809750927,17.3295630140987,21
random_search,6,140,2,22.040658617698014,17.3295630140987,21
random_search,6,141,2,19.816590212458493,17.3295630140987,21
random_search,6,142,2,19.64131112314674,17.3295630140987,21
random_search,6,143,2,20.61245154965971,17.3295630140987,21
random_search,6,144,2,21.03072757526625,17.3295630140987,21
random_search,6,145,2,20.429705854077834,17.3295630140987,21
random_search,6,146,2,20.975817632051932,17.3295630140987,21
random_search,6,147,2,20.83622914957372,17.3295630140987,21
random_search,6,148,2,20.520465053408525,17.3295630140987,21
random_search,6,149,2,21.316609194718914,17.3295630140987,21
random_search,6,150,3,21.261706725018236,17.3295630140987,21
random_search,6,151,3,20.9591260281974,17.3295630140987,21
random_search,6,152,3,18.956465996625056,17.3295630140987,21
random_search,6,153,3,21.957342370508883,17.3295630140987,21
random_search,6,154,3,21.717800560721074,17.3295630140987,21
random_search,6,155,3,20.761249694973138,17.3295630140987,21
random_search,6,156,3,21.06767050061961,17.3295630140987,21
random_search,6,157,3,21.0153393661244,17.3295630140987,21
random_search,6,158,3,21.07364413533277,17.3295630140987,21
random_search,6,159,3,20.269693845669906,17.3295630140987,21
random_search,6,160,3,19.870828693386972,17.3295630140987,21
random_search,6,161,3,21.77488738510232,17.3295630140987,21
random_search,6,162,3,20.80199920063936,17.3295630140987,21
random_search,6,163,3,19.80384048104053,17.3295630140987,21
random_search,6,164,3,19.449137674618942,17.3295630140987,21
random_search,6,165,3,19.340967364599088,17.3295630140987,21
random_search,6,166,3,22.776575213227446,17.3295630140987,21
random_search,6,167,3,20.492838827718412,17.3295630140987,21
random_search,6,168,3,19.781488772222676,17.3295630140987,21
random_search,6,169,3,20.285229954635273,17.3295630140987,21
random_search,6,170,3,22.614482300479487,17.3295630140987,21
random_search,6,171,3,19.830950643030008,17.3295630140987,21
random_search,6,172,3,19.814944167960988,17.3295630140987,21
random_search,6,173,3,21.417935662402833,17.3295630140987,21
random_search,6,174,3,20.37581763205193,17.3295630140987,21
random_search,6,175,3,22.471750305430742,17.3295630140987,21
random_search,6,176,3,18.727566688249706,17.3295630140987,21
random_search,6,177,3,19.87840487520902,17.3295630140987,21
random_search,6,178,3,22.75972971738975,17.3295630140987,21
